,EndDate,TurkID,Sex,Age,Race,PoliticalOrient,,Negligent,Plaint_Harm,Neg_Cause,Reckless,Reck_Cause,Liability_Def,Liability_Plaint,Damages_Comp,Damages_Pun,Why_Neg,Why_Reck,Attn_Task,Attn_Mandate,Attn_Exposure,Condition,Mandate,Exposure,Remove_Mandate,Remove_Exposure
1,3/13/2021 13:58,AKSLU0C30G3JT,Male,48,White/European American,6,,0,1,No,0,NA,10,90,0,0,If can not be determined with certainty that the plaintiff contracted covid by the defendant or at the store.,There was no mandate requiring mask wearing.,Acted as a juror to decided whether or not the defendant was negligent and responsible for their employee contracting covid.,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
2,3/13/2021 13:59,A3JVOMZOZ81R1S,Female,37,White/European American,5,,0,0,NA,0,NA,37,63,0,0,no that is bullshit,she isnt we should have freedom,define negligaencce between employerr andemployee in reggards to covid,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
3,3/13/2021 14:00,AVAJTAKT73XOO,Female,31,White/European American,3,,1,1,Yes,0,NA,80,20,50000,0,she should have been wearing a mask or immediately gone home for one,i don't believe she realized she was sick,i listened to statements about a civil case involving COVID,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
4,3/13/2021 14:01,A2TXC8Q2IFGRXH,Male,69,White/European American,1,,1,1,Yes,1,Yes,50,50,36000,0,She should have realized that there was a possibility a person not wearing a mask could spread cover,she had a duty to protect her employee,I listened to audio recordings of a case involving negligence for an owner of a curio shop when one of her employees got Covid from a customer who was not wearing a mask.,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
5,3/13/2021 14:01,A1OR82RF1ZFWP,Female,70,White/European American,6,,0,0,NA,0,NA,0,100,0,0,Everyone knew there was a pandemic.  It was up to Jennifer whether she wanted to take the risk of going to work in a public place.,She was running her business as usual and it was up to Jennifer during the pandemic whether to work in a public place.,I listened to the testimony as well as reading it. It was up to the jury whether to find Barbara guilty of neglience and or recklessness.,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
6,3/13/2021 14:02,A3F5Z5S2AHMN2O,Male,26,Multiracial,4,,1,1,Yes,1,Yes,78,22,50000,0,"She didn’t mandate any form of mask control. This is negligent, she used her own personal beliefs and risked her employees.",She took no regard for her employees or customers by not enforcing a mask rule within her store. She instead acted with her own personal beliefs risking the lives of those around her.,"I listened to an audio session of a recorded set up court case containing the issue of an employee getting sick form Covid, against her boss who does not enforce mask wearing in her store.",No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
7,3/13/2021 14:03,A3KPNQGV1DGJD5,Male,41,White/European American,4,,0,1,No,0,NA,10,90,0,0,"defendant had no reason to believe she was infected/contagious, and made a mistake and forgot her mask. it is also statistically extremely unlikely that any given otherwise-healthy adult will need to be hospitalized for COVID.","defendant had no reason to believe she was infected/contagious, and made a mistake and forgot her mask. it is also statistically extremely unlikely that any given otherwise-healthy adult will need to be hospitalized for COVID.","I listened to several statements from a mock civil trial of an employee who had been infected with COVID, apparently at work by her boss when the boss forgot her mask for a morning, suing for medical expenses.",No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
8,3/13/2021 14:03,A30X689MOKAFLZ,Male,41,White/European American,5,,0,0,NA,0,NA,0,100,0,0,I think she took a reasonable course of action.,I do not think she reckless.  She did what was reasonable.,I was a jury for a covid lawsuit.  I was to make a decision for the plaintiff or defendant.  I made a decision on an accusation of recklessness and negligence against a business owner by an employee.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
9,3/13/2021 14:04,A2HQMB1GSEADL,Female,69,White/European American,3,,0,0,NA,0,NA,0,100,0,0,"Since there was no mandate for wearing masks, the defendant was not negligent.","Since there was no mandate for wearing masks, the defendant was not reckless.","I listened to the two lawyers' opening statements, then to testimony from a contact tracer and the plaintiff. Finally, I listened to the judge's instructions.",No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
10,3/13/2021 14:04,A1FKRZKU1H9YFC,Male,38,White/European American,1,,1,1,Yes,1,Yes,100,0,72000,5000,"It is straight forward. There was a county-wide mandate, and even if there wasn't, people knew how COVID was spread. Her decision to open the store and stay in the store all morning resulted in her contamination of her employees as well as her customers.","Her behavior was reckless because she blatently disregarded the mandate and put people in danger of getting sick. The argument that it was only the morning is invalid. It only takes a moment to contract COVID. Just because she wasn't feeling sick is also not an argument since some people have it without symptoms. And I have to imagine there was a t-shirt or handkerchief or some other item in the store that could have been used as a temporary mask before she could go home. Or, she could have opened the store for the employees and went home immediately to get the mask.","I determined if Barbara Bennett was negligent and reckless in giving Lisa, her employee, COVID.",Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
11,3/13/2021 14:04,A1143GKN5T807X,Female,43,White/European American,6,,1,1,Yes,1,Yes,50,50,36000,0,"I do believe Barbara Bennett was negligent as she chose to not require masks in her store.  However, Ms. Paulson was also negligent as she chose to not wear one for herself.",Ms. Bennett knew that there was a pandemic and people could become ill if they were not protected.,I was a juror in a civil case determining if Ms. Barbara Bennett was negligent and in turn lead to her employee becoming ill with Covid-19.,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
12,3/13/2021 14:04,A2OROMUVBD1NVC,Female,56,White/European American,3,,1,1,Yes,1,Yes,100,0,72000,10000,She was negligent as her she failed to protect her employees by not having a mask policy.,She was reckless as she refused to wear a mask in her store and infected her employees as a result,"I listened to a court case about a store owner who infected her employee with COVID-19 after refusing to have a mask policy and refusing to wear a mask at work, and I decided if the defendant was negligent or reckless and how much she should pay in damages.",No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
13,3/13/2021 14:05,A770OB1ZAGJ4G,Female,61,White/European American,3,,1,1,Yes,1,Yes,100,0,100000,100000,She was negligent because she did not make people wear masks.,She was reckless because there was a mask mandare and she did not follow it.,"I listened to a court vase about a store owner who did not have people wear masks in her store even though there was a mandare. Her employee got sick and is suing her for negligence and reckless behavior, I had to decide if she was guilty and award the damages.",Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
